POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LC_LO,LC_LA
17001477,동두천시외국인관광특구,경기도,동두천시,생연동,127.0561696,37.91326724
18109374,연변두부마을,서울특별시,영등포구,대림동,126.8972958,37.49509089
22112767,김포대명포구드라이브코스,경기도,김포시,대곶면,126.5460025,37.63601502
20868083,해리단길,부산광역시,해운대구,우동,129.1574821,35.16582918
21085900,주말농장한식마을,경기도,화성시,봉담읍,126.9842874,37.20079238
16441531,죽전아울렛거리,경기도,용인시 수지구,죽전동,127.108726,37.33327314
20868053,쌍리단길,서울특별시,도봉구,창동,127.0350911,37.64748468
21085708,이화대학로거리,서울특별시,종로구,동숭동,127.0027531,37.58021493
17209994,남대문칼국수골목,서울특별시,중구,남창동,126.9771046,37.55824176
21085675,신세계백화점파미에스트리트,서울특별시,서초구,반포동,127.0043533,37.50544329
4930683,장충동족발골목,서울특별시,중구,장충동1가,127.0058071,37.55990318
5614155,의정부가구거리,경기도,의정부시,의정부동,127.0498571,37.73555351
21085596,서면젊음의거리,부산광역시,부산진구,부전동,129.0608456,35.15451147
22112759,국립수목원진입도로,경기도,포천시,소흘읍,127.1713561,37.75029126
22112757,두물머리강변길,경기도,양평군,서종면,127.3436055,37.58961953
22112746,가실벚꽃길,경기도,용인시 처인구,포곡읍,127.1943924,37.29356204
7232858,부천영상문화단지,경기도,부천시,상동,126.7458098,37.50846477
21085659,해방촌예술마을,서울특별시,용산구,용산동2가,126.9817231,37.54625669
17413282,마포음식문화거리,서울특별시,마포구,용강동,126.9410123,37.54172586
21086144,은혜로벚꽃길,경기도,평택시,이충동,127.0738127,37.06675234
21085920,태종대자갈마당,부산광역시,영도구,동삼동,129.0779311,35.06025033
16910877,제부도음식문화시범거리,경기도,화성시,서신면,126.617632,37.17235057
16875031,칠암회촌,부산광역시,기장군,일광읍,129.2596275,35.29871794
20868078,은평한옥마을,서울특별시,은평구,진관동,126.9395244,37.64124097
8292527,송암스페이스센터,경기도,양주시,장흥면,126.942671,37.73589619
21086183,명동거리,서울특별시,중구,명동2가,126.9848971,37.56207862
21085700,봉제골목,서울특별시,종로구,창신동,127.0102876,37.57424283
21085664,수족관거리,서울특별시,종로구,창신동,127.0142989,37.57073576
21086167,포장마차거리,부산광역시,수영구,민락동,129.1264036,35.15483892
5728279,패션문화의거리,서울특별시,관악구,신림동,126.9290764,37.48632956
16840842,방아머리해수욕장,경기도,안산시 단원구,대부북동,126.5764584,37.28882307
21085940,신촌이대거리,서울특별시,서대문구,창천동,126.9391119,37.55739263
21085668,위례성길,서울특별시,송파구,방이동,127.1257141,37.51292124
16824221,댕이골전통음식거리,경기도,안산시 상록구,사동,126.8424483,37.29381726
21525305,DDP패션몰,서울특별시,중구,신당동,127.0121476,37.56735819
16584545,수유리먹자골목,서울특별시,강북구,수유동,127.0268983,37.6402982
7231370,궁평리해수욕장,경기도,화성시,서신면,126.6830849,37.12635244
21085610,동광동인쇄골목,부산광역시,중구,중앙동4가,129.0348263,35.10417582
8292513,세종천문대,경기도,여주시,강천면,127.7537714,37.25729913
21085605,솔밭예술마을창작공예공방,부산광역시,해운대구,중동,129.1623258,35.1645736
7218860,공룡알화석지,경기도,화성시,송산면,126.750399,37.26158386
21085524,평촌로데오거리,경기도,안양시 동안구,호계동,126.9535421,37.39062733
21085545,추모의전당서현공원로,경기도,파주시,광탄면,126.8567183,37.74751599
21085933,광장시장전골목,서울특별시,종로구,종로4가,127.0006294,37.57056354
16846833,광안리해변테마거리,부산광역시,수영구,민락동,129.1218868,35.1554151
5045436,불광동먹자골목,서울특별시,은평구,불광동,126.9316098,37.61091263
18264390,서촌한옥마을,서울특별시,종로구,통의동,126.9734091,37.57929764
20868024,공리단길,서울특별시,노원구,공릉동,127.0776225,37.62480729
17521784,홍대거리,서울특별시,마포구,서교동,126.921868,37.55315326
17499173,아리랑거리,부산광역시,중구,신창동3가,129.0288841,35.10009058
8292244,BIFF,부산광역시,중구,남포동5가,129.0280458,35.09828051
21086025,왕십리여행자거리,서울특별시,성동구,도선동,127.035463,37.56307322
11183699,미음나루음식문화거리,경기도,남양주시,수석동,127.1700639,37.58661773
21085875,수원곱창골목,경기도,수원시 영통구,영통동,127.0758737,37.25174388
21086195,서울숲은행나무길,서울특별시,성동구,성수동1가,127.0418776,37.5450298
5965272,방배동카페골목,서울특별시,서초구,방배동,126.9866044,37.49499214
17522618,연세로,서울특별시,서대문구,창천동,126.9368953,37.55701343
1155049,죽전로데오거리,경기도,용인시 수지구,죽전동,127.1089415,37.32995242
22179318,부산민락동횟집거리,부산광역시,수영구,민락동,129.1249475,35.15541249
20868045,성수동카페거리,서울특별시,성동구,성수동2가,127.0568099,37.54347679
21085674,수락산디자인거리,서울특별시,노원구,상계동,127.0588553,37.67454433
21086180,부평동죽집골목,부산광역시,중구,부평동1가,129.0266597,35.10296079
11178201,족발골목,부산광역시,중구,부평동1가,129.0268061,35.09945931
17459223,세계음식특화거리,서울특별시,용산구,이태원동,126.9933781,37.53499153
20868098,광명가구거리,경기도,광명시,광명동,126.8558612,37.48265582
21086170,남포동거리,부산광역시,중구,창선동2가,129.0289577,35.09940063
21086143,의정부시가구거리,경기도,의정부시,의정부동,127.0501581,37.73575268
16509182,의정부로데오거리,경기도,의정부시,의정부동,127.0496589,37.74141667
21085548,화서문점집골목,경기도,수원시 팔달구,신풍동,127.0120853,37.28510152
21085540,위례서일로거리,경기도,성남시 수정구,창곡동,127.138724,37.46728019
21086145,백마학원가,경기도,고양시 일산동구,마두동,126.7890459,37.65618881
21085696,유네스코길,서울특별시,중구,남대문로2가,126.9823116,37.56364602
20657437,노량진컵밥거리,서울특별시,동작구,노량진동,126.9457297,37.51350073
21085679,금천구청역길,서울특별시,금천구,시흥동,126.8973228,37.45670014
5967392,서면1번가,부산광역시,부산진구,부전동,129.0585741,35.15344671
18318579,피맛골,서울특별시,종로구,청진동,126.9794266,37.5714363
16865991,행운동먹자골목,서울특별시,관악구,봉천동,126.9543533,37.4820227
23350731,신갈외식타운,경기도,용인시 기흥구,신갈동,127.1051304,37.27973437
21085959,건대맛의거리,서울특별시,광진구,화양동,127.0644662,37.54270253
10317011,홍대피카소거리,서울특별시,마포구,서교동,126.9221214,37.55099866
21085662,고종의길,서울특별시,중구,정동,126.9726712,37.5677381
21085873,풍동애니골윗길,경기도,고양시 일산동구,풍동,126.7935818,37.6762597
20868116,신리천카페거리,경기도,화성시,오산동,127.1037102,37.18434401
21086189,염천교수제화거리,서울특별시,중구,의주로2가,126.9700036,37.55932578
21085519,안정리로데오거리,경기도,평택시,팽성읍,127.0451374,36.96024862
21086116,수유리기사식당골목,서울특별시,강북구,수유동,127.0188184,37.63273728
21085864,포천이동갈비촌,경기도,포천시,이동면,127.3665812,38.03588629
21085906,창우동한식마을,경기도,하남시,천현동,127.217053,37.53243869
21050879,차이나타운,부산광역시,동구,초량동,129.0385585,35.11349784
16535619,연신내로데오거리,서울특별시,은평구,갈현동,126.9194734,37.61877873
13920999,패션타운,부산광역시,금정구,장전동,129.08529,35.22887301
21085943,응암동감자국거리,서울특별시,은평구,응암동,126.9171538,37.58736736
21086093,서종면한식마을,경기도,양평군,서종면,127.362636,37.63233732
16845175,고기동오리촌,경기도,용인시 수지구,고기동,127.0552361,37.35901703
21085627,달맞이미술의거리,부산광역시,해운대구,중동,129.1721633,35.16096967
21085598,이중섭거리,부산광역시,동구,범일동,129.0530388,35.14092106
22113459,청룡사드라이브코스,경기도,안성시,서운면,127.2631752,36.9323272
21085936,대림차이나타운,서울특별시,영등포구,대림동,126.8974722,37.49240512
21086173,대한민국임시수도기념거리,부산광역시,서구,부민동2가,129.0196927,35.10342657
16497619,오이도포구해양관광단지,경기도,시흥시,정왕동,126.6882923,37.34802011
16490347,수원가구거리,경기도,수원시 권선구,권선동,127.0265859,37.25904912
21085597,남천동벚꽃거리,부산광역시,수영구,남천동,129.1151894,35.14260648
5614151,반포치킨거리,서울특별시,서초구,반포동,127.0208284,37.50373308
16731257,세종마을음식문화거리,서울특별시,종로구,체부동,126.9720196,37.5765362
21085944,굴보쌈골목,서울특별시,종로구,관수동,126.9911257,37.56990346
4988896,달맞이고개,부산광역시,해운대구,중동,129.1822151,35.15758232
5614177,부산해운대모텔촌,부산광역시,해운대구,우동,129.1606581,35.16111498
21085934,남대문갈치조림골목,서울특별시,중구,남창동,126.9769208,37.559695
16716552,문구거리,부산광역시,중구,신창동4가,129.0278006,35.10064909
21085677,서리풀푸드트럭존,서울특별시,서초구,서초동,127.0268752,37.49799479
21085960,관철동불닭골목,서울특별시,종로구,관철동,126.9844609,37.56904143
17703855,녹두거리,서울특별시,관악구,신림동,126.9377243,37.46922214
20868113,댕리단길,경기도,안양시 만안구,안양동,126.9175912,37.40087458
21085633,점바치골목,부산광역시,중구,중앙동7가,129.0362299,35.09693572
20868021,419카페거리,서울특별시,강북구,수유동,127.0042407,37.64405297
16586921,이천농업농촌테마공원,경기도,이천시,모가면,127.4448576,37.17814937
14214054,자라섬헌수공원,경기도,가평군,가평읍,127.5224438,37.81921622
21085672,양재천길,서울특별시,강남구,도곡동,127.0455021,37.48172797
20868054,용리단길,서울특별시,용산구,한강로2가,126.9715184,37.53140714
10620407,웨딩드레스상가,서울특별시,강남구,신사동,127.0379837,37.52734422
21085533,양평해장국거리,경기도,양평군,개군면,127.5280002,37.46561402
16758706,구로시장떡볶이골목,서울특별시,구로구,구로동,126.8855426,37.48881811
6419772,고갈비골목,부산광역시,중구,광복동2가,129.0320914,35.09920932
21085687,마장동벽화마을,서울특별시,성동구,마장동,127.0448621,37.56357825
17432689,팥빙수단팥죽골목,부산광역시,중구,신창동4가,129.0281584,35.10132476
20868042,샤로수길,서울특별시,관악구,봉천동,126.9555807,37.47860113
5268284,체인지업캠퍼스,경기도,파주시,탄현면,126.6998896,37.7843022
21085919,남포동먹자골목,부산광역시,중구,남포동4가,129.0307812,35.09723248
21050880,망양로산복도로,부산광역시,중구,영주동,129.0329818,35.11493617
18095681,삼청동거리,서울특별시,종로구,팔판동,126.9811939,37.58165767
21085616,명륜1번가,부산광역시,동래구,명륜동,129.0800287,35.20583409
21420131,소나무길,서울특별시,종로구,명륜4가,127.0001694,37.58217048
16848558,평택호횟타운,경기도,평택시,현덕면,126.9102976,36.91476243
21085637,웹툰스마힐링101,부산광역시,동래구,온천동,129.0690187,35.206877
21086108,부산연탄불곰장어골목,부산광역시,부산진구,부전동,129.0604325,35.16336418
21085537,가평벚꽃길,경기도,가평군,청평면,127.3983405,37.70734887
8292568,안성천문대,경기도,안성시,미양면,127.2339373,36.95557407
16827460,서래마을,서울특별시,서초구,반포동,126.9983203,37.49771194
20868125,신해철거리,경기도,성남시 분당구,수내동,127.126955,37.3657084
21085706,29스트리트,서울특별시,송파구,신천동,127.1040663,37.51365918
22026262,국제음식문화거리,서울특별시,구로구,구로동,126.892584,37.50576807
21085924,해녀촌,부산광역시,서구,암남동,129.0213994,35.06272284
21086089,광교외식타운,경기도,수원시 영통구,이의동,127.0546804,37.3121497
4930658,문정로데오거리,서울특별시,송파구,가락동,127.1231963,37.48988264
5967113,평촌먹자골목,경기도,안양시 동안구,호계동,126.9599545,37.38174861
21085602,정거마을문화거리,부산광역시,강서구,눌차동,128.8520153,35.06890828
21085886,여술마을갈매기촌,경기도,성남시 중원구,여수동,127.1319816,37.41735401
21085872,대명포구횟타운,경기도,김포시,대곶면,126.5434487,37.63995453
5075408,먹거리타운,경기도,시흥시,정왕동,126.7408211,37.35014053
5967602,돼지국밥거리,부산광역시,부산진구,범천동,129.0621025,35.14208653
21966285,을숙도철새공원,부산광역시,사하구,하단동,128.9389687,35.09770894
21086168,해운대로데오거리,부산광역시,해운대구,중동,129.1702811,35.16248849
4904941,신당동떡볶이골목,서울특별시,중구,신당동,127.0150482,37.563323
21085648,청담동명품거리,서울특별시,강남구,청담동,127.0460441,37.526129
21085929,철마한우불고기먹거리촌,부산광역시,기장군,철마면,129.150288,35.27461413
20988095,전포카페거리,부산광역시,부산진구,전포동,129.0634863,35.15539778
20868047,수리단길,경기도,구리시,수택동,127.1431892,37.59930831
21085925,다대포생선회먹거리타운,부산광역시,사하구,다대동,128.9690998,35.04768943
20868052,온천천카페거리,부산광역시,동래구,안락동,129.1021706,35.19156662
21085613,해운대모텔촌,부산광역시,해운대구,우동,129.1599607,35.16095351
17459109,인현시장먹거리,서울특별시,중구,충무로4가,126.9951731,37.56235646
5614296,양수리카페촌,경기도,남양주시,화도읍,127.3558781,37.63553931
21086097,까치울음식테마마을,경기도,부천시,작동,126.8138061,37.51514031
18983292,수원남문시장푸드트럭거리,경기도,수원시 팔달구,팔달로2가,127.0184812,37.27777272
5968779,교대곱창골목,서울특별시,서초구,서초동,127.0142478,37.48885956
21085599,구제골목,부산광역시,중구,신창동3가,129.0288429,35.10132018
17459230,청량리먹자골목,서울특별시,동대문구,청량리동,127.0462182,37.58125378
5965852,무교동낙지골목,서울특별시,중구,무교동,126.9792378,37.56863922
16671705,녹색거리,경기도,의정부시,의정부동,127.0508993,37.7418105
17522361,청담동거리,서울특별시,강남구,청담동,127.0443602,37.52541991
21420148,우림맛솜씨길,서울특별시,중랑구,망우동,127.0963998,37.59832582
21085606,친구의거리,부산광역시,동구,범일동,129.0570486,35.14210029
16793833,송강누리길,경기도,고양시 덕양구,신원동,126.8661471,37.67973022
21086026,돈암동거리,서울특별시,성북구,동선동1가,127.0187094,37.59232646
22660035,영도포장마차거리,부산광역시,영도구,봉래동1가,129.0387454,35.09445438
16865036,황학동주방거리,서울특별시,중구,황학동,127.0213318,37.5691983
21086028,영화인의거리,서울특별시,중구,충무로2가,126.9904023,37.56221978
21085646,양재천카페거리,서울특별시,서초구,양재동,127.0402897,37.47667703
21863242,광안동곱창거리,부산광역시,수영구,광안동,129.1176067,35.16734819
21086146,매산로테마거리,경기도,수원시 팔달구,매산로1가,126.9984728,37.26949238
7218688,청계천,서울특별시,종로구,관수동,126.9908326,37.56826517
22113460,금광호수로,경기도,안성시,금광면,127.3738345,36.96601941
16716548,신발골목,부산광역시,중구,신창동2가,129.0293375,35.10055541
21085947,공덕소담길,서울특별시,마포구,공덕동,126.9539262,37.54728307
16716382,부속골목,부산광역시,중구,창선동2가,129.0281666,35.09971112
20921763,상수동카페거리,서울특별시,마포구,상수동,126.9214311,37.54843329
16864189,종각젊음의거리,서울특별시,종로구,관철동,126.9844279,37.56955613
21085676,회기동벽화골목,서울특별시,동대문구,회기동,127.0545482,37.59184009
21085600,녹산수문아울렛패션거리,부산광역시,강서구,녹산동,128.8903692,35.11842346
21085620,광복로,부산광역시,중구,광복동1가,129.0353185,35.09873526
21085693,장미길,서울특별시,중랑구,묵동,127.0727304,37.61354418
16584531,방배역먹자골목,서울특별시,서초구,방배동,126.9967609,37.48213262
21085649,한류스타거리,서울특별시,강남구,압구정동,127.0421985,37.52764411
21085663,자전거거리,서울특별시,강동구,천호동,127.1256776,37.54546147
17459116,안양명물순대곱창골목,경기도,안양시 만안구,안양동,126.9203645,37.39784672
21085868,일월먹거리촌,경기도,수원시 권선구,구운동,126.973326,37.28305511
21085938,공덕시장족발골목,서울특별시,마포구,공덕동,126.9534706,37.54486472
8292816,오두산통일전망대,경기도,파주시,탄현면,126.6770602,37.7730166
22112744,서울랜드드라이브코스,경기도,과천시,막계동,127.0190996,37.43589723
7231288,송정해수욕장,부산광역시,해운대구,송정동,129.1979149,35.17664807
11090329,쁘띠프랑스,경기도,가평군,청평면,127.4905622,37.71507267
21645964,부산자갈치양곱창골목,부산광역시,중구,남포동5가,129.0286427,35.097415
11324754,만물의거리,부산광역시,중구,창선동2가,129.0284685,35.09981244
21085884,용인족발골목,경기도,용인시 처인구,김량장동,127.2064211,37.23640933
16568917,홍대걷고싶은거리,서울특별시,마포구,서교동,126.9232526,37.55511289
21085641,신사동가로수길,서울특별시,강남구,신사동,127.0228333,37.52115838
21086188,홍대예술의거리,서울특별시,마포구,서교동,126.921408,37.55204442
16984778,송우가구거리,경기도,포천시,소흘읍,127.1263588,37.79171158
21085680,충무로애견거리,서울특별시,중구,충무로4가,126.9967496,37.56202924
21085689,이화52번가,서울특별시,서대문구,대현동,126.9448507,37.55938848
21085669,홍대땡땡거리,서울특별시,마포구,동교동,126.9316992,37.55469993
21086169,전리단길,부산광역시,부산진구,전포동,129.0649074,35.15875351
4930680,인사동거리,서울특별시,종로구,관훈동,126.986007,37.57322248
21086194,중곡동가구거리,서울특별시,광진구,능동,127.0809921,37.55648128
5965740,천호동먹자골목,서울특별시,강동구,천호동,127.1272828,37.5390352
16470308,노원문화의거리,서울특별시,노원구,상계동,127.0642371,37.65595719
18062634,퍼스트가든,경기도,파주시,상지석동,126.794238,37.73216093
20868137,장리단길,경기도,하남시,신장동,127.207877,37.53995188
21085877,풍동애니골아랫길,경기도,고양시 일산동구,풍동,126.7908521,37.67150858
21085888,아산조개구이골목,경기도,평택시,현덕면,126.9062038,36.92099597
21085603,부산민락횟집거리,부산광역시,수영구,민락동,129.1239966,35.15577858
6430871,고가구골목,서울특별시,용산구,이태원동,126.9943014,37.53332429
10620404,부평동한복거리,부산광역시,중구,부평동1가,129.0271723,35.10092406
21085686,을지로타일상가,서울특별시,중구,을지로2가,126.98898,37.56637497
21085699,창신동인장거리,서울특별시,종로구,창신동,127.0135067,37.5720874
21085690,방배동사이길,서울특별시,서초구,방배동,126.9902088,37.49452634
18977064,사당1동먹자골목,서울특별시,동작구,사당동,126.9806068,37.47845952
21086022,가리봉연변거리,서울특별시,구로구,가리봉동,126.8887536,37.48210768
20868111,대신동꽃마을,부산광역시,서구,서대신동3가,129.0071313,35.12755173
21085656,홍대벽화거리,서울특별시,마포구,상수동,126.9241978,37.55074516
